ID	E	EFINP	NOT	NFP	IAD	text
302049-01-01	0	0	0	0	0	Piker , vin og ugagn
302049-02-01	1	0	1	0	1	« Utdrikningslaget » er en mørk komedie om overdådig usympatiske jenter .
302049-03-01	0	0	0	0	0	FILM :
302049-03-02	1	0	1	0	1	De er verken flinke eller snille piker , de tre hovedpersonene i « Utdrikningslaget » .
302049-03-03	1	0	1	0	1	De er ganske nær det motsatte .
302049-03-04	1	0	1	0	1	Den bekmørke komedien om en jentegjengs katastrofale oppseilling før bryllupet til den ene « venninnen » vil nok bli sammenlignet med fjorårets boblende hit « Bridesmaids » .
302049-03-05	0	0	0	0	0	I struktur er den en feminin versjon av « The Hangover » , trendmessig en fortsettelse av kjip kvinne-komediene « Bad Teacher » og « Young Adult » .
302049-03-06	1	0	0	0	0	Men « Utdrikningslaget » er seg selv nok .
302049-03-07	0	0	0	0	0	Den er mørkere , skarpere , mer sardonisk og mer marinert i selvforakt enn de foregående .
302049-03-08	1	0	1	0	1	Og den frontes av en overdådig usympatisk Kirsten Dunst , med stikkende blikk og sammenknepne lepper .
302049-04-01	0	0	0	0	0	Kokain og referanser
302049-04-02	0	0	0	0	0	Det er Dunsts rollefigur , Regan , som reagerer med svært lett kamuflert sjokk og vantro når Becky ( Rebel Wilson ) forteller at hun er forlovet .
302049-04-03	1	0	1	0	1	Etterpå ringer hun rasende til resten av gjengen , den seksuelt utsvevende og dypt desillusjonerte Gena ( Lizzy Caplan ) og den imbesile partyjenta Katie ( Isla Fisher ) , for å viderebringe at det faktisk er den tykke jenta de såvidt tolererte på ungdomsskolen som skal gifte seg først .
302049-04-04	0	0	0	0	0	Et skjebnesvangert nachspiel ender med en spjæret brudekjole og en desperat natteferd gjennom Manhattans gater , spekket med kokain og nittitallsreferanser , for å få reparert plagget .
302049-05-01	1	0	0	0	0	Nevrotiske og morsomme
302049-05-02	1	0	0	0	0	Regan , Gena og Katie har en underholdende gjennomsiktighet .
302049-05-03	0	0	0	0	0	De henger ut av andres svakheter og klarer ikke å skjule sine egne .
302049-05-04	1	0	1	1	0	De hånler av en verden som har beveget seg videre og som såvidt orker dem og nykkene deres .
302049-05-05	1	0	0	0	0	De er nevrotiske , miserable og morsomme .
302049-05-06	1	0	1	0	1	Og når de er umulige bare å avfeie som fuckups , er det ikke så mye fordi de er gode på bunnen - det er de kanskje , kanskje ikke - som at det er noe ekte og innsiktsfullt over portrettet av folk som innerst inne vet at de gjør dumme , stygge ting , men som alltid finner en bortforklaring .
302049-06-01	1	0	0	0	0	Herjet skjønnhet
302049-06-02	1	0	0	0	1	De billedskjønne skuespillerne lar seg gjerne bade i regissør og manusforfatter Leslye Headlands hvite lys , som gjør dem harde og herjede å se på .
302049-06-03	0	1	0	0	0	Og ingen er hardere enn Regan .
302049-06-04	1	0	0	0	0	Nettopp hardheten , forakten for andres følelser , gir henne en utålmodig energi , en usentimental handlekraft , som i sin tur gjør henne interessant .
302049-06-05	1	0	0	0	1	Formidable
302049-06-06	1	0	0	0	0	Dunst kan gjerne nomineres til det som er av skuespillerpriser for denne rollen , skjønt det kan hende hun blir for drøy kost for amerikanske juryer med sans for tragiske heltinner .
302049-07-01	1	0	0	0	1	Det går seg for fint til mot slutten , dette .
302049-07-02	0	1	0	0	1	Regans , Genas og Katies destruktive løp er ikke slike som kan settes på rett kurs sånn helt uten videre .
302049-07-03	1	0	0	0	0	Men de vippes opp mot femmeren for viddet og vågemotet .
